#    L    TT             EE             TE             PP             TP          
   191   0.532851E+04   0.667114E+00  -0.240030E+02   0.246379E+07   0.264238E+04
   192   0.534516E+04   0.660934E+00  -0.229680E+02   0.245045E+07   0.262052E+04
   193   0.536123E+04   0.655290E+00  -0.219103E+02   0.243722E+07   0.259889E+04
   194   0.537693E+04   0.650211E+00  -0.208279E+02   0.242409E+07   0.257747E+04
   195   0.539203E+04   0.645732E+00  -0.197228E+02   0.241108E+07   0.255626E+04
   196   0.540655E+04   0.641891E+00  -0.185944E+02   0.239818E+07   0.253525E+04
   197   0.542062E+04   0.638730E+00  -0.174442E+02   0.238538E+07   0.251442E+04
   198   0.543418E+04   0.636272E+00  -0.162714E+02   0.237269E+07   0.249378E+04
   199   0.544722E+04   0.634553E+00  -0.150768E+02   0.236010E+07   0.247331E+04
   200   0.545975E+04   0.633602E+00  -0.138611E+02   0.234762E+07   0.245300E+04
   201   0.547170E+04   0.633477E+00  -0.126236E+02   0.233523E+07   0.243284E+04
   202   0.548313E+04   0.634185E+00  -0.113657E+02   0.232295E+07   0.241284E+04
   203   0.549397E+04   0.635785E+00  -0.100868E+02   0.231077E+07   0.239298E+04
   204   0.550416E+04   0.638298E+00  -0.878968E+01   0.229869E+07   0.237328E+04
   205   0.551383E+04   0.641767E+00  -0.747221E+01   0.228670E+07   0.235372E+04
   206   0.552284E+04   0.646228E+00  -0.613560E+01   0.227481E+07   0.233432E+04
   207   0.553133E+04   0.651704E+00  -0.478031E+01   0.226302E+07   0.231506E+04
   208   0.553909E+04   0.658246E+00  -0.340683E+01   0.225133E+07   0.229595E+04
   209   0.554627E+04   0.665873E+00  -0.201554E+01   0.223973E+07   0.227698E+04
   210   0.555285E+04   0.674639E+00  -0.607303E+00   0.222822E+07   0.225816E+04
   211   0.555885E+04   0.684571E+00   0.817822E+00   0.221681E+07   0.223948E+04
   212   0.556411E+04   0.695698E+00   0.225891E+01   0.220549E+07   0.222095E+04
   213   0.556885E+04   0.708065E+00   0.371602E+01   0.219426E+07   0.220256E+04
   214   0.557294E+04   0.721662E+00   0.518796E+01   0.218312E+07   0.218431E+04
   215   0.557643E+04   0.736682E+00   0.667399E+01   0.217207E+07   0.216620E+04
   216   0.557926E+04   0.752938E+00   0.817465E+01   0.216111E+07   0.214823E+04
   217   0.558158E+04   0.770586E+00   0.968794E+01   0.215023E+07   0.213039E+04
   218   0.558323E+04   0.789624E+00   0.112141E+02   0.213945E+07   0.211270E+04
   219   0.558429E+04   0.810052E+00   0.127541E+02   0.212875E+07   0.209514E+04
   220   0.558477E+04   0.832017E+00   0.143035E+02   0.211814E+07   0.207772E+04
   221   0.558465E+04   0.855444E+00   0.158645E+02   0.210761E+07   0.206044E+04
   222   0.558394E+04   0.880481E+00   0.174357E+02   0.209717E+07   0.204329E+04
   223   0.558250E+04   0.907052E+00   0.190178E+02   0.208680E+07   0.202627E+04
   224   0.558062E+04   0.935157E+00   0.206071E+02   0.207653E+07   0.200939E+04
   225   0.557807E+04   0.964944E+00   0.222066E+02   0.206633E+07   0.199263E+04
   226   0.557492E+04   0.996411E+00   0.238125E+02   0.205621E+07   0.197601E+04
   227   0.557112E+04   0.102956E+01   0.254265E+02   0.204617E+07   0.195952E+04
   228   0.556680E+04   0.106438E+01   0.270470E+02   0.203621E+07   0.194316E+04
   229   0.556188E+04   0.110096E+01   0.286725E+02   0.202633E+07   0.192692E+04
   230   0.555631E+04   0.113929E+01   0.303038E+02   0.201653E+07   0.191082E+04
   231   0.555006E+04   0.117944E+01   0.319401E+02   0.200680E+07   0.189484E+04
   232   0.554330E+04   0.122134E+01   0.335800E+02   0.199715E+07   0.187898E+04
   233   0.553595E+04   0.126521E+01   0.352220E+02   0.198757E+07   0.186325E+04
   234   0.552786E+04   0.131091E+01   0.368669E+02   0.197807E+07   0.184765E+04
   235   0.551925E+04   0.135850E+01   0.385132E+02   0.196864E+07   0.183216E+04
   236   0.550997E+04   0.140798E+01   0.401608E+02   0.195928E+07   0.181680E+04
   237   0.550010E+04   0.145943E+01   0.418084E+02   0.194999E+07   0.180156E+04
   238   0.548964E+04   0.151293E+01   0.434559E+02   0.194078E+07   0.178644E+04
   239   0.547867E+04   0.156831E+01   0.451026E+02   0.193163E+07   0.177145E+04
   240   0.546695E+04   0.162566E+01   0.467463E+02   0.192255E+07   0.175657E+04
   241   0.545478E+04   0.168512E+01   0.483877E+02   0.191354E+07   0.174180E+04
   242   0.544203E+04   0.174655E+01   0.500261E+02   0.190460E+07   0.172716E+04
   243   0.542868E+04   0.181008E+01   0.516601E+02   0.189572E+07   0.171263E+04
   244   0.541473E+04   0.187565E+01   0.532903E+02   0.188691E+07   0.169822E+04
   245   0.540020E+04   0.194333E+01   0.549138E+02   0.187816E+07   0.168392E+04
   246   0.538514E+04   0.201312E+01   0.565321E+02   0.186948E+07   0.166973E+04
   247   0.536957E+04   0.208494E+01   0.581431E+02   0.186086E+07   0.165566E+04
